Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel
15/7/2021;SPACE JAM: UNA NUEVA ERA;637147;;25;1;63;17
28/10/2021;LA VIDA DORMIDA;24;;24;2;64;1
23/9/2021;LA CASA OSCURA;46973;;21;1;65;6
1/10/2021;"DU CINEMA FUNDACION COLUMBIA ""SUEÑOS""";21;;21;1;66;1
14/10/2021;LA INVENCION DE CASTAGNO;43;;16;1;67;3
28/10/2021;RIZOMA. EN LA MEMORIA;70;;13;1;68;2
14/10/2021;CICLO DOCUMENTAL OCTUBRE - SALA 2;40;;13;1;69;3
8/4/2021;NOSOTRAS TAMBIÉN ESTUVIMOS;152;;12;2;70;6
28/10/2021;EL RITUAL DEL ALCAUCIL;9;;9;2;71;1
11/2/2021;MAÑANA TAL VEZ;748;;7;1;72;19
6/10/2021;MUESTRA : EL CAIRO CINE PÚBLICO 2021;178;;7;1;73;3
18/2/2021;AZUL EL MAR;71;;6;1;74;4
19/12/2019;LA NOCHE MÁS LARGA;18818;;6;1;75;20
18/3/2021;BANDIDO;1418;;4;1;76;15
6/6/2019;EL HIJO DEL CAZADOR;443;;4;2;77;7
26/8/2021;SOÑANDO MARTIN;49;;4;1;78;5
7/10/2021;LAZOS DE FAMILIA;2367;;4;1;79;4
29/10/2021;EL CADAVER INSEPULTO;2;;2;1;80;2
4/3/2021;ANDA A LAVAR LOS PLATOS;391;;2;1;81;12
23/9/2021;AINBO;32324;;2;1;82;7
18/10/2018;LA CASA DEL ECO;1474;;1;1;83;11
