Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel
7/10/2021;VENOM: CARNAGE LIBERADO;711266;1;70019;258;1;4
21/10/2021;DUNA;131917;50;51335;255;2;4
14/10/2021;RON DA ERROR;78997;100;32141;228;3;3
28/10/2021;ESPIRITUS OSCUROS;22394;140;22394;109;4;2
14/10/2021;HALLOWEEN KILLS: LA NOCHE NO TERMINA;75947;;15331;105;5;3
28/10/2021;YO NENA YO PRINCESA;12038;;12038;70;6;1
14/10/2021;CATO;58521;;8889;59;7;4
30/9/2021;SIN TIEMPO PARA MORIR;165490;;6314;28;8;6
7/10/2021;LOS LOCOS ADDAMS 2;116394;;5943;61;9;4
21/10/2021;CHERNOBIL: LA PELICULA;15453;;5256;49;10;3
28/10/2021;ROCK DOG: RENACE UNA ESTRELLA;4795;;4795;117;11;1
30/9/2021;EL PROFUGO;22799;;4203;25;12;6
28/10/2021;TERREMOTO 8.5;3809;;3809;35;13;1
28/10/2021;EL SECRETO DE MARO;3462;;3462;16;14;1
14/10/2021;EL ULTIMO DUELO;18498;;1792;11;15;3
28/10/2021;EL CASO COLLINI;1517;;1517;18;16;1
12/8/2021;NO RESPIRES 2;294094;;1391;23;17;13
10/6/2021;EL CONJURO: EL DIABLO ME OBLIGO A HACERLO;430262;;1191;23;18;21
21/10/2021;RETRATO DE UNA MUJER EN LLAMAS;2986;;998;11;19;2
20/12/2018;LA CASA DE LOS CONEJOS;2978;;982;5;20;3
28/11/2019;EL SILENCIO DEL CAZADOR;4905;;914;2;21;20
14/1/2021;¡SCOOBY!;28288;;908;16;22;37
28/10/2021;LO INEVITABLE;1000;;800;27;23;2
6/9/2018;LA MONJA;1179724;;704;22;24;14
21/10/2021;Z;4951;;691;14;25;2
22/7/2021;UN LUGAR EN SILENCIO PARTE 2;145512;;626;22;26;9
6/5/2021;ERRANTE CORAZON;2403;;575;1;27;4
27/10/2021;CICLO DOC BUENOS AIRES 2021;642;;545;1;28;2
20/5/2021;RUEGA POR NOSOTROS;31161;;527;22;29;11
26/8/2021;PAW PATROL LA PELÍCULA;208406;;439;7;30;10
28/10/2021;FREE!;439;;439;8;31;1
21/10/2021;CODA;3499;;367;9;32;2
26/12/2019;36 HORAS;385;;343;1;33;3
8/8/2013;EL CONJURO;1089454;;302;22;34;19
1/10/2021;PROGRAMACION OCTUBRE - EL JARDIN DE LAS DELICIAS 600750;384;;295;1;35;5
14/10/2021;VIVIR SU VIDA;1898;;289;2;36;3
9/6/2016;EL CONJURO 2;1798815;;222;21;37;16
14/10/2021;UN CUERPO ESTALLO EN MIL PEDAZOS;729;;185;5;38;3
2/11/2021;CICLO BIENALSUR;149;;149;1;39;1
25/2/2021;PLANTA PERMANENTE;864;;145;3;40;14
1/11/2021;SOLA;140;;140;1;41;1
2/9/2021;SHANG-CHI, Y LA LEYENDA DE LOS DIEZ ANILLOS;383136;;122;1;42;10
3/10/2021;PROGRAMACION CINE AMBULANTE LAURETI;225;;95;1;43;3
1/10/2021;CICLO OCTUBRE SALA 2;428;;90;1;44;5
14/10/2021;GRIMORIO;177;;89;2;45;3
4/11/2021;ETERNALS;88;;88;1;46;1
14/1/2021;LA AUDICION;2411;;87;1;47;19
28/10/2021;AMORES ANDANTES;80;;80;1;48;1
28/10/2021;EL ARPONERO;71;;71;1;49;1
1/11/2020;LOS QUE VUELVEN;128;;68;1;50;2
23/9/2021;KARNAWAL;1583;;66;1;51;6
7/10/2021;AMOR BANDIDO;1213;;65;3;52;4
23/9/2021;LA FIESTA SILENCIOSA;323;;55;4;53;6
15/7/2021;LA PURGA POR SIEMPRE;224558;;54;1;54;16
9/9/2021;MALIGNO;89081;;50;1;55;9
2/9/2021;A PUERTAS CERRADAS;2262;;38;1;56;6
30/9/2021;NOCTURNA;1665;;36;3;57;5
23/9/2021;LOS AÑOS MAS BELLOS DE UNA VIDA;4204;;36;1;58;5
14/10/2021;MATAR AL DRAGON;69;;33;2;59;4
11/3/2010;UN FUEGUITO: LA HISTORIA DE CESAR MILSTEIN;7218;;32;1;60;11
1/7/2021;LOS CROODS 2: UNA NUEVA ERA;317369;;27;1;61;18
23/9/2021;YO ADOLESCENTE;209;;26;1;62;6
