Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel
15/12/2021;SPIDER MAN SIN CAMINO A CASA;144270;3;144270;533;1;1
25/11/2021;ENCANTO;455445;50;103856;413;2;4
9/12/2021;CLIFFORD EL GRAN PERRO ROJO;40047;100;39747;202;3;2
25/11/2021;LA CASA GUCCI;110906;161;21125;124;4;4
4/11/2021;ETERNALS;672287;;20724;131;5;7
2/12/2021;RESIDENT EVIL: BIENVENIDOS A RACCONN CITY;57218;;19496;213;6;3
18/11/2021;GHOSTBUSTERS: EL LEGADO;167730;;17005;128;7;5
9/12/2021;AMOR SIN BARRERA;8817;;8709;74;8;2
2/12/2021;EX CASADOS;22427;;6648;69;9;3
7/10/2021;VENOM: CARNAGE LIBERADO;849377;;5638;31;10;10
9/12/2021;MATRIX;9390;;4957;91;11;22
1/12/2021;KING RICHARD: UNA FAMILIA GANADORA;17805;;4230;55;12;3
18/11/2021;LA CRONICA FRANCESA;33402;;2746;18;13;4
9/12/2021;EL CUENTO DEL TIO;2577;;2577;57;14;2
2/12/2021;BUENOS AIRES ROJO SANGRE 2021;4680;;2326;3;15;2
9/12/2021;MONSTA X;2315;;2315;37;16;1
2/12/2021;LA FAMILIA MONSTER 2;11488;;2255;57;17;4
25/11/2021;EL NIDO;8405;;1556;9;18;3
2/12/2021;VIVO;7011;;1389;17;19;2
9/12/2021;NO MIRES ARRIBA;882;;882;12;20;1
9/12/2021;EL PERFECTO DAVID;689;;689;11;21;1
18/11/2021;EL MISTERIO DE SOHO;23153;;603;10;22;4
14/10/2021;RON DA ERROR;163858;;535;12;23;9
18/11/2021;RIESGO BAJO CERO;15108;;529;3;24;4
4/12/2021;CICLO MAYICO KYO;744;;465;1;25;2
21/10/2021;DUNA;175046;;454;3;26;10
28/10/2021;ESPIRITUS OSCUROS;50934;;382;4;27;8
9/12/2021;ESE FIN DE SEMANA;363;;363;4;28;1
NULL;SING 2, VEN Y CANTA DE NUEVO;414;;314;2;29;2
6/5/2021;ERRANTE CORAZON;3216;;307;3;30;8
28/10/2021;YO NENA YO PRINCESA;42376;;307;6;31;7
9/12/2021;UN JABALI AL ACECHO;304;;304;3;32;1
29/11/2001;HARRY POTTER Y LA PIEDRA FILOSOFAL;1508100;;280;2;33;79
2/12/2021;MILAGRO DE OTOÑO;909;;260;6;34;2
1/12/2021;PROGRAMACION EL CAIRO - DICIEMBRE;188;;188;1;35;1
8/4/2021;INMORTAL;478;;179;1;36;4
15/12/2021;CICLO FESTIVAL ESCENARIO CINE + MUSICA;161;;161;1;37;1
25/11/2021;UN MUNDO PARA JULIUS;670;;134;1;38;2
1/11/2021;PROGRAMACION EL JARDIN DE LAS DELICIAS - NOVIEMBRE;1191;;134;1;39;7
9/12/2021;TRES EN LA DERIVA DEL ACTO CREATIVO;128;;128;1;40;1
30/9/2021;SIN TIEMPO PARA MORIR;173062;;118;1;41;12
7/10/2021;MEDIUM;284;;98;1;42;7
14/10/2021;CATO;64770;;89;2;43;10
21/10/2021;RETRATO DE UNA MUJER EN LLAMAS;4555;;80;2;44;8
20/12/2018;LA CASA DE LOS CONEJOS;3988;;72;1;45;9
7/10/2021;LAZOS DE FAMILIA;2600;;71;1;46;7
25/11/2021;CARAJITA;405;;69;1;47;2
30/9/2021;EL PROFUGO;24636;;64;2;48;12
28/10/2021;EL SECRETO DE MARO;5352;;52;2;49;7
28/11/2021;ALGO SE ENCIENDE;67;;45;1;50;3
4/11/2021;EL APEGO;1245;;35;2;51;6
2/9/2021;SHANG-CHI, Y LA LEYENDA DE LOS DIEZ ANILLOS;383659;;32;1;52;12
26/8/2021;PAW PATROL LA PELÍCULA;209467;;29;2;53;16
18/11/2021;RETIROS (IN) VOLUNTARIOS;294;;27;2;54;4
8/7/2021;BLACK WIDOW;448539;;24;1;55;9
11/11/2021;ILSE FUSKOVA;688;;22;1;56;5
1/12/2021;CCSM SALA 2 - DICIEMBRE;30;;20;1;57;2
2/12/2021;CICLO ISABELLA DE MATÍAS PIÑEIRO;155;;19;1;58;2
4/3/2021;ANDA A LAVAR LOS PLATOS;429;;17;1;59;14
4/11/2021;DIOS MIO ¿Y AHORA QUE HEMOS HECHO?;2057;;16;1;60;4
1/7/2021;LOS CROODS 2: UNA NUEVA ERA;317686;;13;1;61;20
1/10/2021;DU CINEMA - MUESTRA ENTERRIANA;27;;10;1;62;2
1/11/2021;SOLA;1327;;6;1;63;7
1/10/2021;DU CINEMA - FUNDACIÓN COLUMBIA;40;;5;1;64;5
25/11/2021;EL PERRO QUE NO CALLA;1867;;4;1;65;3
7/10/2021;LOS LOCOS ADDAMS 2;126682;;3;1;66;10
