Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel
2/9/2021;SHANG-CHI, Y LA LEYENDA DE LOS DIEZ ANILLOS;301509;1;59459;253;1;4
9/9/2021;MALIGNO;69334;50;27112;171;2;3
16/9/2021;ESCAPE ROOM 2: RETO MORTAL;24507;100;24507;170;3;1
26/8/2021;PAW PATROL LA PELÍCULA;166855;173;22100;149;4;4
16/9/2021;VENGANZA IMPLACABLE;17586;;17516;118;5;2
12/8/2021;NO RESPIRES 2;275730;;15117;77;6;7
16/9/2021;SPIRIT EL INDOMABLE;14974;;14974;179;7;1
16/9/2021;CRY MACHO;12378;;12243;96;8;2
2/9/2021;PETER RABBIT CONEJO EN FUGA;47431;;8271;106;9;4
15/7/2021;SPACE JAM: UNA NUEVA ERA;627774;;5691;42;10;11
12/8/2021;FREE GUY: TOMANDO EL CONTROL;156709;;4081;17;11;7
7/9/2017;AKIRA;5356;;2719;11;12;5
16/9/2021;FESTIVAL DE CINE ALEMAN;1988;;1988;3;13;1
2/9/2021;AFTER: ALMAS PERDIDAS;24064;;1428;15;14;3
5/8/2021;EL ESCUADRON SUICIDA;258414;;1250;11;15;8
24/6/2021;RAPIDOS Y FURIOSOS 9;944788;;1174;7;16;13
29/7/2021;JUNGLE CRUISE;223112;;831;7;17;9
12/8/2021;EL PADRE;24475;;827;7;18;8
16/9/2021;EL IMPERIO DE LOS SENTIDOS;811;;811;8;19;1
26/8/2021;JUSTICIA IMPLACABLE;22377;;711;8;20;4
21/9/2021;"""FESTIVAL BANFN MOUNTAIN FILM""";702;;702;1;21;1
1/7/2021;LOS CROODS 2: UNA NUEVA ERA;316226;;500;4;22;12
19/8/2021;JACCUSE;7851;;493;6;23;5
10/6/2021;EL CONJURO: EL DIABLO ME OBLIGO A HACERLO;426820;;465;4;24;15
9/9/2021;LA CHICA MAS RARA DEL MUNDO;1001;;437;3;25;2
14/1/2021;¡SCOOBY!;24878;;420;9;26;31
15/7/2021;LA PURGA POR SIEMPRE;223438;;361;4;27;10
22/7/2021;PLANETA SALVAJE;3585;;360;1;28;9
22/7/2021;UN JEFE EN PAÑALES NEGOCIOS DE FAMILIA;360986;;324;6;29;10
29/7/2021;VIEJOS;54194;;285;3;30;9
26/8/2021;LAS RANAS;469;;284;1;31;3
16/9/2021;FIDEL NIÑO VALIENTE;252;;252;1;32;1
2/9/2021;"""CICLO CULTURAL SEPTIEMBRE""";605;;233;1;33;3
19/12/2019;UNA CASA LEJOS;1738;;232;2;34;20
2/9/2021;ESPIRAL;20046;;215;3;35;4
25/7/2021;ENCICLOPEDIA CINEMATOGRÁFICA DEL VAMPIRISMO PARTE 1;1926;;202;1;36;7
16/9/2021;EN COMPAÑIA;192;;192;1;37;1
12/3/2020;LA BIBLIOTECA DE LOS LIBROS OLVIDADOS;1940;;173;1;38;6
23/9/2021;AINBO;170;;170;1;39;1
22/9/2021;"CICLO ""LUZ, CÁMARA, CLICK""";169;;169;1;40;1
16/9/2021;CICLO JARDINES DE INFANTES;160;;160;1;41;1
2/9/2021;A PUERTAS CERRADAS;2000;;133;2;42;3
25/2/2021;PLANTA PERMANENTE;621;;120;5;43;9
19/8/2021;REMINISCENCIA;15378;;120;4;44;5
10/10/2019;DE LA NOCHE A LA MAÑANA;1056;;116;1;45;16
15/4/2021;LAS MOTITOS;482;;113;6;46;9
18/3/2021;BANDIDO;1225;;96;4;47;9
2/9/2021;DORADOS 50;341;;95;1;48;2
18/3/2021;LINEA 137;95;;94;1;49;2
5/8/2021;LA PANELISTA;5691;;83;3;50;8
12/8/2021;TODOS TENEMOS UN MUERTO EN EL PLACARD O UN HIJO EN EL CL..;1534;;69;4;51;4
31/1/2002;EL SEÑOR DE LOS ANILLOS;1379206;;68;1;52;77
16/9/2021;EL PAYASO DEL ROCK;68;;68;1;53;1
26/8/2021;CANDYMAN;31545;;66;2;54;4
1/1/2004;EL SEÑOR DE LOS ANILLOS EL RETORNO DEL REY;1925773;;55;1;55;41
24/6/2021;OJOS DE ARENA;693;;52;2;56;13
9/9/2021;ESQUIRLAS;476;;50;2;57;2
1/9/2021;PROGRAMACION SEPTIEMBRE - EL JARDIN DE LAS DELICIAS 600750;184;;45;1;58;4
2/1/2003;EL SEÑOR DE LOS ANILLOS 2;1581286;;35;1;59;59
4/10/2018;EL POTRO;548749;;29;1;60;17
5/8/2021;EMILIA;514;;29;1;61;6
7/9/2021;"CICLO ""MARTES FRANCÉS""";68;;29;1;62;3
9/7/2015;OCHO APELLIDOS VASCOS;53566;;26;1;63;18
26/8/2021;CICATRICES;1139;;18;1;64;4
2/9/2021;TOXICO;142;;17;3;65;3
10/6/2021;CONVALECIENTE;925;;16;1;66;10
26/8/2021;SOÑANDO MARTIN;36;;16;1;67;3
16/9/2021;BUENAS NOCHES MALVINAS;10;;10;1;68;1
7/11/2019;EXPANSIVAS;496;;10;1;69;10
20/5/2021;LOS RAYOS;317;;2;1;70;6
26/8/2021;LA SOLEDAD DE LOS HUESOS;251;;1;1;71;2
