Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel;region;pais;cantidad
7/10/2021;VENOM: CARNAGE LIBERADO;535688;1;148808;385;1;2;EE.UU;EE.UU;1
14/10/2021;HALLOWEEN KILLS: LA NOCHE NO TERMINA;33543;50;33543;192;2;1;EE.UU;EE.UU;1
14/10/2021;CATO;31666;100;31111;130;3;2;ARGENTINA;ARGENTINA;1
7/10/2021;LOS LOCOS ADDAMS 2;99072;150;24621;225;4;2;EE.UU;EE.UU;1
30/9/2021;SIN TIEMPO PARA MORIR;149704;190;17628;117;5;4;EE.UU;EE.UU;1
14/10/2021;EL ULTIMO DUELO;12477;;12477;101;6;1;EE.UU;EE.UU;1
26/8/2021;PAW PATROL LA PELÍCULA;207320;;3449;46;7;8;EE.UU;EE.UU;1
30/9/2021;EL PROFUGO;16083;;2761;12;8;4;ARGENTINA;ARGENTINA;1
14/10/2021;RON DA ERROR;2660;;2660;15;9;1;EE.UU;EE.UU;1
2/9/2021;SHANG-CHI, Y LA LEYENDA DE LOS DIEZ ANILLOS;382721;;2166;27;10;8;EE.UU;EE.UU;1
23/9/2021;LA CASA OSCURA;46731;;2061;21;11;4;EE.UU;EE.UU;1
23/9/2021;AINBO;32231;;1287;22;12;5;LATAM;PERU;1
14/10/2021;VIVIR SU VIDA;1080;;1080;11;13;1;EUROPA;ESPAÑA;1
6/5/2021;ERRANTE CORAZON;1038;;993;1;14;2;ARGENTINA;ARGENTINA;1
12/8/2021;NO RESPIRES 2;292423;;733;6;15;11;EE.UU;EE.UU;1
2/10/2021;"CICLO ""KUROSAWA, LADO B""";1758;;585;1;16;3;OTRO;OTRO;1
14/1/2021;¡SCOOBY!;26840;;540;9;17;35;EE.UU;EE.UU;1
14/10/2021;UN CUERPO ESTALLO EN MIL PEDAZOS;512;;512;3;18;1;ARGENTINA;ARGENTINA;1
7/10/2021;LAZOS DE FAMILIA;2278;;411;8;19;2;EUROPA;UK;1
15/7/2021;SPACE JAM: UNA NUEVA ERA;637102;;382;9;20;15;EE.UU;EE.UU;1
14/10/2021;DESEQUILIBRADOS;294;;294;1;21;1;ARGENTINA;ARGENTINA;1
2/9/2021;PETER RABBIT CONEJO EN FUGA;55325;;209;6;22;8;EE.UU;EE.UU;1
30/9/2021;UNA EDUCACION PARISINA;720;;194;1;23;3;EUROPA;FRANCIA;1
21/10/2021;DUNA;348;;190;1;24;2;EE.UU;EE.UU;1
23/9/2021;LOS AÑOS MAS BELLOS DE UNA VIDA;4168;;185;2;25;4;EUROPA;FRANCIA;1
9/9/2021;MALIGNO;88943;;158;3;26;7;EE.UU;EE.UU;1
4/10/2021;17ª FESTIVAL FESTIFREAK;572;;145;1;27;3;OTRO;OTRO;1
7/10/2021;AMOR BANDIDO;992;;141;3;28;2;ARGENTINA;ARGENTINA;1
30/9/2021;NOCTURNA;1428;;123;3;29;3;ARGENTINA;ARGENTINA;1
30/9/2021;LOS SANTOS DE LA MAFIA;8336;;112;1;30;4;EE.UU;EE.UU;1
12/8/2021;FREE GUY: TOMANDO EL CONTROL;162332;;108;3;31;11;EE.UU;EE.UU;1
18/10/2021;"EXHIBICION ""ETERNALS""";100;;100;1;32;1;OTRO;OTRO;1
16/9/2021;SPIRIT EL INDOMABLE;29436;;99;7;33;5;EE.UU;EE.UU;1
26/8/2021;CICATRICES;1234;;95;1;34;5;EUROPA;SERBIA;1
1/10/2021;CICLO OCTUBRE SALA 2;248;;90;1;35;3;OTRO;OTRO;1
22/7/2021;UN JEFE EN PAÑALES NEGOCIOS DE FAMILIA;361928;;88;2;36;14;EE.UU;EE.UU;1
7/11/2019;UNA BANDA DE CHICAS;2025;;82;1;37;20;ARGENTINA;ARGENTINA;1
12/8/2021;EL PADRE;25881;;81;1;38;12;EE.UU;EE.UU;1
3/10/2021;PROGRAMACION CINE AMBULANTE LAURETI;130;;65;1;39;2;OTRO;OTRO;1
10/6/2021;EL CONJURO: EL DIABLO ME OBLIGO A HACERLO;429020;;60;1;40;19;EE.UU;EE.UU;1
23/9/2021;GORO, EL QUE MUEVE LOS HILOS;238;;58;1;41;2;ARGENTINA;ARGENTINA;1
25/2/2021;PLANTA PERMANENTE;712;;56;1;42;12;ARGENTINA;ARGENTINA;1
6/10/2021;MUESTRA : EL CAIRO CINE PÚBLICO 2021;50;;50;1;43;1;OTRO;OTRO;1
16/9/2021;CRY MACHO;21963;;43;1;44;6;EE.UU;EE.UU;1
7/10/2021;FLIPPER;607;;41;1;45;2;ARGENTINA;ARGENTINA;1
1/7/2021;LOS CROODS 2: UNA NUEVA ERA;317290;;41;1;46;16;EE.UU;EE.UU;1
31/10/2019;DESERTOR;2964;;40;1;47;10;ARGENTINA;ARGENTINA;1
15/7/2021;LA PURGA POR SIEMPRE;224452;;40;1;48;14;EE.UU;EE.UU;1
5/8/2021;MARTIN EDEN;2785;;37;1;49;8;EUROPA;ITALIA;1
16/9/2021;ESCAPE ROOM 2: RETO MORTAL;43693;;31;1;50;5;EE.UU;EE.UU;1
15/4/2021;LAS MOTITOS;630;;27;2;51;13;ARGENTINA;ARGENTINA;1
9/9/2021;ESQUIRLAS;588;;27;2;52;6;ARGENTINA;ARGENTINA;1
30/9/2021;LA CRECIENTE;32;;26;1;53;3;;;1
29/7/2021;JUNGLE CRUISE;224653;;24;1;54;13;EE.UU;EE.UU;1
23/9/2021;YO ADOLESCENTE;171;;23;2;55;4;;;1
1/10/2021;PROGRAMACION OCTUBRE - EL JARDIN DE LAS DELICIAS 600750;77;;23;1;56;3;;;1
23/9/2021;KARNAWAL;1443;;21;2;57;4;;;1
5/8/2021;EL ESCUADRON SUICIDA;259188;;20;1;58;12;EE.UU;EE.UU;1
14/10/2021;MATAR AL DRAGON;25;;19;4;59;2;;;1
12/8/2021;TODOS TENEMOS UN MUERTO EN EL PLACARD O UN HIJO EN EL CL..;1555;;19;1;60;8;;;1
26/8/2021;LAS RANAS;608;;17;1;61;6;;;1
28/1/2021;MADRE BAILE;634;;14;2;62;10;;;1
14/10/2021;CICLO DOCUMENTAL OCTUBRE - SALA 2;14;;14;1;63;1;;;1
18/10/2018;LA CASA DEL ECO;1473;;12;1;64;10;;;1
1/8/2019;VIGILIA EN AGOSTO;2885;;12;1;65;12;;;1
11/2/2021;MAÑANA TAL VEZ;708;;12;1;66;17;;;1
4/3/2021;ANDA A LAVAR LOS PLATOS;387;;9;1;67;10;;;1
19/12/2019;UNA CASA LEJOS;1873;;8;1;68;23;;;1
23/9/2021;LA FIESTA SILENCIOSA;211;;8;2;69;4;;;1
18/3/2021;BANDIDO;1411;;8;3;70;13;;;1
2/9/2021;LA SESENTA, CRONICAS DE UNA LUCHA OBRERA;812;;8;1;71;4;;;1
7/10/2021;SANGRE VURDALAK;22;;7;1;72;2;;;1
15/4/2021;FANTASMA VUELVE AL PUEBLO;380;;5;1;73;3;;;1
19/12/2019;LA NOCHE MÁS LARGA;18797;;4;1;74;18;;;1
14/10/2021;LA INVENCION DE CASTAGNO;4;;4;1;75;1;;;1
8/4/2021;NOSOTRAS TAMBIÉN ESTUVIMOS;138;;3;1;76;4;;;1
1/10/2021;DU CINEMA;20;;3;1;77;3;;;1
2/9/2021;TOXICO;199;;2;1;78;6;;;1
23/9/2021;UNA CASA CON DIEZ PINOS;270;;2;1;79;4;;;1
14/10/2021;GRIMORIO;2;;2;1;80;1;;;1
6/6/2019;EL HIJO DEL CAZADOR;437;;1;1;81;5;;;1
