Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel;region;pais;cantidad
5/8/2021;EL ESCUADRON SUICIDA;259168;;77;1;47;11;EE.UU;EE.UU;1
23/9/2021;KARNAWAL;1422;;71;1;48;3;ARGENTINA;ARGENTINA;1
1/8/2019;VIGILIA EN AGOSTO;2873;;55;2;49;11;ARGENTINA;ARGENTINA;1
23/9/2021;YO ADOLESCENTE;148;;46;4;50;3;ARGENTINA;ARGENTINA;1
5/8/2021;MARTIN EDEN;2748;;44;1;51;7;EUROPA;ITALIA;1
26/8/2021;LAS RANAS;591;;37;2;52;5;ARGENTINA;ARGENTINA;1
23/9/2021;UNDINE;1425;;37;2;53;3;EUROPA;ALEMANIA;1
29/7/2021;VIEJOS;54427;;36;1;54;12;EE.UU;EE.UU;1
15/4/2021;LAS MOTITOS;603;;33;4;55;12;ARGENTINA;ARGENTINA;1
23/9/2021;UNA CASA CON DIEZ PINOS;268;;33;2;56;3;ARGENTINA;ARGENTINA;1
16/9/2021;EN COMPAÑIA;224;;32;1;57;2;ARGENTINA;ARGENTINA;1
19/12/2019;UNA CASA LEJOS;1865;;30;1;58;22;ARGENTINA;ARGENTINA;1
18/2/2021;LAS SIAMESAS;1811;;30;2;59;18;ARGENTINA;ARGENTINA;1
16/9/2021;BUENAS NOCHES MALVINAS;39;;29;1;60;3;ARGENTINA;ARGENTINA;1
1/10/2021;PROGRAMACION OCTUBRE - EL JARDIN DE LAS DELICIAS 600750;54;;29;1;61;2;OTRO;OTRO;1
2/9/2021;UNA CASA SIN CORTINAS;272;;28;1;62;4;ARGENTINA;ARGENTINA;1
4/3/2021;ANDA A LAVAR LOS PLATOS;378;;28;1;63;9;ARGENTINA;ARGENTINA;1
9/9/2021;LA CHICA MAS RARA DEL MUNDO;1132;;19;2;64;4;ARGENTINA;ARGENTINA;1
21/11/2019;VENEZIA;1572;;18;1;65;7;ARGENTINA;ARGENTINA;1
19/12/2019;LA NOCHE MÁS LARGA;18793;;18;1;66;17;ARGENTINA;ARGENTINA;1
30/9/2021;EL CAZADOR;47;;16;3;67;3;ARGENTINA;ARGENTINA;1
7/10/2021;SANGRE VURDALAK;15;;15;1;68;1;ARGENTINA;ARGENTINA;1
20/5/2021;LOS RAYOS;474;;15;3;69;8;ARGENTINA;ARGENTINA;1
11/2/2021;MAÑANA TAL VEZ;696;;12;1;70;16;ARGENTINA;ARGENTINA;1
2/9/2021;TOXICO;197;;11;1;71;5;ARGENTINA;ARGENTINA;1
18/2/2021;AZUL EL MAR;63;;11;1;72;2;ARGENTINA;ARGENTINA;1
23/9/2021;LA FIESTA SILENCIOSA;203;;11;1;73;3;ARGENTINA;ARGENTINA;1
2/9/2021;LA SESENTA, CRONICAS DE UNA LUCHA OBRERA;804;;11;1;74;3;ARGENTINA;ARGENTINA;1
7/11/2019;EXPANSIVAS;506;;10;1;75;11;ARGENTINA;ARGENTINA;1
1/10/2021;DU CINEMA;17;;9;1;76;2;OTRO;OTRO;1
31/10/2019;DESERTOR;2924;;8;2;77;9;ARGENTINA;ARGENTINA;1
14/10/2021;MATAR AL DRAGON;6;;6;1;78;1;ARGENTINA;ARGENTINA;1
9/9/2021;ESQUIRLAS;561;;6;1;79;5;ARGENTINA;ARGENTINA;1
8/4/2021;NOSOTRAS TAMBIÉN ESTUVIMOS;135;;3;1;80;3;ARGENTINA;ARGENTINA;1
