Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel;region;pais;cantidad
7/10/2021;VENOM: CARNAGE LIBERADO;386880;6;386880;452;1;1;EE.UU;EE.UU;1
7/10/2021;LOS LOCOS ADDAMS 2;74451;50;74451;229;2;1;EE.UU;EE.UU;1
30/9/2021;SIN TIEMPO PARA MORIR;132076;100;52929;230;3;3;EE.UU;EE.UU;1
2/9/2021;SHANG-CHI, Y LA LEYENDA DE LOS DIEZ ANILLOS;380555;158;15659;87;4;7;EE.UU;EE.UU;1
23/9/2021;LA CASA OSCURA;44670;;11084;55;5;3;EE.UU;EE.UU;1
26/8/2021;PAW PATROL LA PELÍCULA;203871;;10136;57;6;7;EE.UU;EE.UU;1
23/9/2021;AINBO;30944;;9660;53;7;4;LATAM;PERU;1
30/9/2021;EL PROFUGO;13322;;5287;24;8;3;ARGENTINA;ARGENTINA;1
15/7/2021;SPACE JAM: UNA NUEVA ERA;636720;;2695;18;9;14;EE.UU;EE.UU;1
12/8/2021;NO RESPIRES 2;291690;;2571;15;10;10;EE.UU;EE.UU;1
2/9/2021;PETER RABBIT CONEJO EN FUGA;55116;;2129;15;11;7;EE.UU;EE.UU;1
7/10/2021;LAZOS DE FAMILIA;1867;;1867;14;12;1;EUROPA;UK;1
30/9/2021;LOS SANTOS DE LA MAFIA;8224;;1712;20;13;3;EE.UU;EE.UU;1
9/9/2021;MALIGNO;88785;;1358;11;14;6;EE.UU;EE.UU;1
12/8/2021;FREE GUY: TOMANDO EL CONTROL;162224;;1140;6;15;10;EE.UU;EE.UU;1
16/9/2021;SPIRIT EL INDOMABLE;29337;;1078;21;16;4;EE.UU;EE.UU;1
16/9/2021;ESCAPE ROOM 2: RETO MORTAL;43662;;1075;6;17;4;EE.UU;EE.UU;1
7/10/2021;AMOR BANDIDO;851;;851;3;18;1;ARGENTINA;ARGENTINA;1
23/9/2021;LOS AÑOS MAS BELLOS DE UNA VIDA;3983;;732;5;19;3;EUROPA;FRANCIA;1
2/10/2021;"CICLO ""KUROSAWA, LADO B""";1173;;660;1;20;2;OTRO;OTRO;1
7/10/2021;DISTANCIA DE RESCATE;602;;602;6;21;1;LATAM;PERU;1
7/10/2021;FLIPPER;566;;566;2;22;1;ARGENTINA;ARGENTINA;1
14/10/2021;CATO;555;;555;4;23;1;ARGENTINA;ARGENTINA;1
16/9/2021;CRY MACHO;21920;;524;3;24;5;EE.UU;EE.UU;1
30/9/2021;NOCTURNA;1305;;466;4;25;2;ARGENTINA;ARGENTINA;1
30/9/2021;AMENAZA BAJO EL AGUA;8038;;435;6;26;3;OCEANIA;AUSTRALIA;1
10/6/2021;EL CONJURO: EL DIABLO ME OBLIGO A HACERLO;428960;;344;2;27;18;EE.UU;EE.UU;1
4/10/2021;17ª FESTIVAL FESTIFREAK;427;;338;1;28;2;OTRO;OTRO;1
12/8/2021;EL PADRE;25800;;291;3;29;11;EE.UU;EE.UU;1
14/1/2021;¡SCOOBY!;26300;;285;5;30;34;EE.UU;EE.UU;1
1/7/2021;LOS CROODS 2: UNA NUEVA ERA;317249;;253;3;31;15;EE.UU;EE.UU;1
24/6/2021;RAPIDOS Y FURIOSOS 9;946978;;248;2;32;16;EE.UU;EE.UU;1
21/10/2021;DUNA;158;;158;1;33;1;EE.UU;EE.UU;1
16/9/2021;VENGANZA IMPLACABLE;30793;;152;1;34;5;EE.UU;EE.UU;1
22/7/2021;UN JEFE EN PAÑALES NEGOCIOS DE FAMILIA;361840;;146;2;35;13;EE.UU;EE.UU;1
29/7/2021;JUNGLE CRUISE;224629;;128;3;36;12;EE.UU;EE.UU;1
1/10/2021;CICLO DIEGO RECALDE - SALA 1;184;;126;1;37;2;OTRO;OTRO;1
5/3/2020;NIÑA MAMA;1112;;119;1;38;6;ARGENTINA;ARGENTINA;1
21/10/2021;CHERNOBIL: LA PELICULA;100;;100;1;39;1;EUROPA;RUSIA;1
15/7/2021;LA PURGA POR SIEMPRE;224412;;96;1;40;13;EE.UU;EE.UU;1
18/3/2021;BANDIDO;1403;;93;1;41;12;ARGENTINA;ARGENTINA;1
1/10/2021;CICLO OCTUBRE SALA 2;158;;90;1;42;2;OTRO;OTRO;1
19/8/2021;JACCUSE;8528;;87;1;43;8;EUROPA;FRANCIA;1
30/9/2021;UNA EDUCACION PARISINA;526;;86;1;44;2;EUROPA;FRANCIA;1
15/9/2016;GILDA, NO ME ARREPIENTO DE ESTE AMOR;955200;;83;1;45;49;ARGENTINA;ARGENTINA;1
28/5/2019;LA CASA DE ARGÜELLO;1282;;82;1;46;5;ARGENTINA;ARGENTINA;1
