Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel
2/9/2021;SHANG-CHI, Y LA LEYENDA DE LOS DIEZ ANILLOS;242050;5;90100;343;1;3
9/9/2021;MALIGNO;42222;20;42044;226;2;2
26/8/2021;PAW PATROL LA PELÍCULA;144755;40;31782;209;3;3
12/8/2021;NO RESPIRES 2;260613;60;22426;105;4;6
2/9/2021;PETER RABBIT CONEJO EN FUGA;39160;80;14081;169;5;3
12/8/2021;FREE GUY: TOMANDO EL CONTROL;152628;107;7352;40;6;6
2/9/2021;AFTER: ALMAS PERDIDAS;22636;;7225;68;7;2
15/7/2021;SPACE JAM: UNA NUEVA ERA;622083;;6341;55;8;10
2/9/2021;ESPIRAL;19831;;5001;61;9;3
5/8/2021;EL ESCUADRON SUICIDA;257164;;3300;29;10;7
26/8/2021;JUSTICIA IMPLACABLE;21666;;2414;20;11;3
24/6/2021;RAPIDOS Y FURIOSOS 9;943614;;2076;13;12;12
22/7/2021;UN JEFE EN PAÑALES NEGOCIOS DE FAMILIA;360662;;1577;21;13;9
29/7/2021;JUNGLE CRUISE;222281;;1497;12;14;8
26/8/2021;CANDYMAN;31479;;1362;18;15;3
9/9/2021;"""CINE A LA VISTA"" - FESTIVAL INTERNACIONAL DE CINE PARA ADO..";1337;;1337;2;16;1
12/8/2021;EL PADRE;23648;;943;7;17;7
19/8/2021;JACCUSE;7358;;931;11;18;4
10/6/2021;EL CONJURO: EL DIABLO ME OBLIGO A HACERLO;426355;;912;9;19;14
2/9/2021;A PUERTAS CERRADAS;1867;;570;11;20;2
9/9/2021;LA CHICA MAS RARA DEL MUNDO;564;;564;5;21;1
15/7/2021;LA PURGA POR SIEMPRE;223077;;535;4;22;9
1/7/2021;LOS CROODS 2: UNA NUEVA ERA;315726;;504;6;23;11
19/12/2019;UNA CASA LEJOS;1506;;448;2;24;19
9/9/2021;ESQUIRLAS;426;;426;2;25;1
29/7/2021;VIEJOS;53909;;335;3;26;8
31/1/2002;EL SEÑOR DE LOS ANILLOS;1379138;;256;4;27;76
2/9/2021;DORADOS 50;246;;246;3;28;1
10/10/2019;DE LA NOCHE A LA MAÑANA;940;;242;1;29;15
2/9/2021;LA SESENTA, CRONICAS DE UNA LUCHA OBRERA;793;;215;1;30;2
1/1/2004;EL SEÑOR DE LOS ANILLOS EL RETORNO DEL REY;1925718;;183;4;31;40
2/9/2021;"""CICLO CULTURAL SEPTIEMBRE""";372;;178;1;32;2
2/1/2003;EL SEÑOR DE LOS ANILLOS 2;1581251;;167;4;33;58
16/9/2021;CRY MACHO;135;;135;2;34;1
14/1/2021;¡SCOOBY!;24458;;120;4;35;30
26/8/2021;LAS RANAS;185;;110;5;36;2
22/7/2021;PLANETA SALVAJE;3225;;107;1;37;8
26/8/2021;COMO MUEREN LAS REINAS;952;;95;1;38;3
18/2/2021;LAS SIAMESAS;1589;;74;2;39;15
16/9/2021;VENGANZA IMPLACABLE;70;;70;1;40;1
2/9/2021;MEMORIA FOTOGRAFICA;66;;56;1;41;2
2/9/2021;TOXICO;125;;51;4;42;2
24/6/2021;OJOS DE ARENA;641;;51;1;43;12
25/2/2021;PLANTA PERMANENTE;501;;50;3;44;8
10/9/2021;ALMA PURA;41;;41;3;45;1
26/8/2021;CICATRICES;1121;;40;2;46;3
18/3/2021;BANDIDO;1129;;33;2;47;8
6/3/2020;LOS PASOS;243;;33;1;48;3
8/4/2021;UN CRIMEN COMUN;1956;;31;1;49;17
5/8/2021;LA PANELISTA;5608;;26;2;50;7
1/9/2021;PROGRAMACION SEPTIEMBRE - EL JARDIN DE LAS DELICIAS 600750;139;;26;1;51;3
23/8/2017;CUMBIA LA REINA;64;;25;1;52;2
5/8/2021;EMILIA;485;;22;1;53;5
19/8/2021;LA VIRGEN DEL POZO;181;;18;1;54;3
2/9/2021;UNA CASA SIN CORTINAS;238;;16;1;55;2
7/9/2021;"CICLO ""MARTES FRANCÉS""";39;;14;1;56;2
7/11/2019;EXPANSIVAS;486;;7;1;57;9
4/3/2021;ANDA A LAVAR LOS PLATOS;335;;7;1;58;6
26/8/2021;SOÑANDO MARTIN;20;;5;1;59;2
