Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel
14/1/2021;¡SCOOBY!;24336;10;300;3;1;29
2/9/2021;"""CICLO CULTURAL SEPTIEMBRE""";194;20;194;1;2;1
2/9/2021;A PUERTAS CERRADAS;1297;40;1297;16;3;1
2/9/2021;AFTER: ALMAS PERDIDAS;15411;60;15411;103;4;1
18/3/2021;BANDIDO;1096;80;144;8;5;7
26/8/2021;CANDYMAN;30117;107;8916;115;6;2
14/4/2021;CANELA, SÓLO SE VIVE DOS VECES;468;;101;1;7;4
8/7/2021;CENIZA NEGRA;780;;12;1;8;7
26/8/2021;CICATRICES;1081;;80;2;9;2
7/9/2021;"CICLO ""MARTES FRANCÉS""";25;;25;1;10;1
26/8/2021;COMO MUEREN LAS REINAS;857;;301;1;11;2
29/7/2021;EL AFORTUNADO;169;;14;1;12;6
10/6/2021;EL CONJURO: EL DIABLO ME OBLIGO A HACERLO;425443;;1755;12;13;13
26/8/2021;EL CULTO;150;;10;2;14;3
5/8/2021;EL ESCUADRON SUICIDA;253864;;5866;49;15;6
12/8/2021;EL PADRE;22705;;1809;10;16;6
10/6/2021;EL ULTIMO PARTIDO;275;;23;1;17;11
5/8/2021;EMILIA;463;;125;1;18;4
2/9/2021;ESPIRAL;14830;;14760;99;19;2
7/11/2019;EXPANSIVAS;479;;8;1;20;8
12/8/2021;FREE GUY: TOMANDO EL CONTROL;145276;;12090;60;21;5
15/9/2016;GILDA, NO ME ARREPIENTO DE ESTE AMOR;955117;;80;1;22;48
19/8/2021;JACCUSE;6427;;980;9;23;3
29/7/2021;JUNGLE CRUISE;220784;;2222;14;24;7
26/8/2021;JUSTICIA IMPLACABLE;19252;;4475;41;25;2
5/8/2021;LA PANELISTA;5582;;260;4;26;6
15/7/2021;LA PURGA POR SIEMPRE;222542;;1234;6;27;8
2/9/2021;LA SESENTA, CRONICAS DE UNA LUCHA OBRERA;578;;578;1;28;1
18/2/2021;LAS SIAMESAS;1515;;66;1;29;14
1/7/2021;LOS CROODS 2: UNA NUEVA ERA;315222;;681;9;30;10
6/3/2020;LOS PASOS;210;;14;1;31;2
20/5/2021;LOS RAYOS;315;;67;1;32;5
9/9/2021;MALIGNO;178;;178;2;33;1
5/8/2021;MARTIN EDEN;2613;;135;1;34;5
2/9/2021;MEMORIA FOTOGRAFICA;10;;10;1;35;1
2/9/2021;MOACIR Y YO;198;;198;3;36;1
12/8/2021;NO RESPIRES 2;238187;;33122;120;37;5
24/6/2021;OJOS DE ARENA;590;;38;1;38;11
26/8/2021;PAW PATROL LA PELÍCULA;112973;;53029;219;39;2
2/9/2021;PETER RABBIT CONEJO EN FUGA;25079;;22959;174;40;2
22/7/2021;PLANETA SALVAJE;3118;;107;1;41;7
1/9/2021;PROGRAMACION SEPTIEMBRE - EL JARDIN DE LAS DELICIAS 600750;113;;34;1;42;2
24/6/2021;RAPIDOS Y FURIOSOS 9;941538;;3492;25;43;11
19/8/2021;REMINISCENCIA;15258;;401;5;44;4
2/9/2021;SHANG-CHI, Y LA LEYENDA DE LOS DIEZ ANILLOS;151950;;151870;349;45;2
15/7/2021;SPACE JAM: UNA NUEVA ERA;615742;;9852;67;46;9
2/9/2021;TOXICO;74;;74;3;47;1
8/4/2021;UN CRIMEN COMUN;1925;;15;1;48;16
22/7/2021;UN JEFE EN PAÑALES NEGOCIOS DE FAMILIA;359085;;2760;32;49;8
19/12/2019;UNA CASA LEJOS;1058;;73;3;50;18
2/9/2021;UNA CASA SIN CORTINAS;222;;222;2;51;1
29/7/2021;VIEJOS;53574;;834;4;52;7
